raw_date,raw_merchant,raw_amount,true_category,true_date,true_amount
05/06/2025,Boojum Burrito LIMERICK,-?8.14,Dining & Takeaway,2025-06-05,8.14
2025-05-06,ODEON CINEMAS CORK,-?37.26,Entertainment & Subscriptions,2025-05-06,37.26
2023.10.09,BOOKING.COM HOTEL,1342.05,Travel,2023-10-09,1342.05
2024-04-21,ASOS.COM ORDERS,-136.11,Shopping,2024-04-21,136.11
2023-11-17,odeon cinemas swords,?4.99,Entertainment & Subscriptions,2023-11-17,4.99
10/04/2024,irish rail online,-14.15,Transport,2024-04-10,14.15
2024-08-05,Audible UK Monthly,-10.18,Entertainment & Subscriptions,2024-08-05,10.18
01/05/2025,The Local Pub & Grill,-3.80,Dining & Takeaway,2025-05-01,3.8
14/07/2024,circle k galway,-21.59,Transport,2024-07-14,21.59
29/12/2024,SuperValu GALWAY,-38.98,Groceries,2024-12-29,38.98
"Jul 02, 2023",Boots Healthcare BRAY,-12.00,Health & Fitness,2023-07-02,12.0
2023-07-10,marks & spencer food,-26.53,Groceries,2023-07-10,26.53
2024-03-14,PureGym Direct Debit,?41.45,Health & Fitness,2024-03-14,41.45
2024-05-09,Dentist Clinic Dublin,-?45.21,Health & Fitness,2024-05-09,45.21
2023-07-10,ASOS.COM ORDERS,-91.34,Shopping,2023-07-10,91.34
20/11/2023,  DELIVEROO.IE *5574   ,?38.40,Dining & Takeaway,2023-11-20,38.4
22/09/2023,FREE NOW TAXI DUBLIN,-33.65,Transport,2023-09-22,33.65
2024-04-22,tesco store #8365,?79.30,Groceries,2024-04-22,79.3
2024-05-27,TESCO EXTRA SWORDS,-64.24,Groceries,2024-05-27,64.24
2024.06.25,,-51.00,Groceries,2024-06-25,51.0
05/01/2023,  Gourmet Burger Kitchen   ,-?30.13,Dining & Takeaway,2023-01-05,30.13
03/04/2023,BOOTS PHARMACY BRAY,-105.48,Shopping,2023-04-03,105.48
"Jul 06, 2023",Council Tax Payment,-83.71,Utilities & Bills,2023-07-06,83.71
"May 08, 2023",Audible Uk Monthly,?4.99,Entertainment & Subscriptions,2023-05-08,4.99
2023-07-31,  SHELL PETROL 5448   ,-?43.18,Transport,2023-07-31,43.18
10/11/2023,Shell Petrol 1998,-35.99,Transport,2023-11-10,35.99
2023-07-04,dart ticket machine,?30.01,Transport,2023-07-04,30.01
"May 31, 2025",Starbucks Coffee #2886,-?65.87,Dining & Takeaway,2025-05-31,65.87
2023-10-23,,-8.04,Transport,2023-10-23,8.04
"Oct 22, 2024",Netflix.com monthly,-6.01,Entertainment & Subscriptions,2024-10-22,6.01
2023-02-01,amzn prime member,-?4.99,Entertainment & Subscriptions,2023-02-01,4.99
"Jul 01, 2024",TESCO EXTRA SWORDS,-?57.95,Groceries,2024-07-01,57.95
07/08/2024,ALDI STORE 2505,?54.42,Groceries,2024-08-07,54.42
05/01/2025,Bord Gais Energy DD,-?133.29,Utilities & Bills,2025-01-05,133.29
2023-11-30,ALDI STORE 8326,58.55 EUR,Groceries,2023-11-30,58.55
2025-01-08,  DUNNES STORES DUNDALK   ,-58.41,Groceries,2025-01-08,58.41
2023-06-03,  SPAR EXPRESS CORK   ,-26.58,Groceries,2023-06-03,26.58
2025.03.02,SHELL PETROL 8502,-?13.45,Transport,2025-03-02,13.45
2024-07-29,tfi leap card topup,?26.86,Transport,2024-07-29,26.86
2023-06-22,Nandos CORK,-56.33,Dining & Takeaway,2023-06-22,56.33
"Jul 20, 2023",Shell Petrol 3497,-?46.25,Transport,2023-07-20,46.25
2024-06-25,AMZN Mktp UK*1348,-60.77,Shopping,2024-06-25,60.77
2024-02-08,  Physiotherapy Care Dublin   ,-?48.96,Health & Fitness,2024-02-08,48.96
2024-09-30,McDonalds DUNDALK,15.61,Dining & Takeaway,2024-09-30,15.61
2024-09-13,PENNEYS PRIMARK KILKENNY,-124.94,Shopping,2024-09-13,124.94
21/12/2024,SPAR EXPRESS KILKENNY,?51.24,Groceries,2024-12-21,51.24
2024-01-11,spar express swords,-?75.58,Groceries,2024-01-11,75.58
22/01/2024,,-?2.40,Transport,2024-01-22,2.4
2024-04-02,DUBLIN BUS 1828,-2.40,Transport,2024-04-02,2.4
"Jul 27, 2024",DUBLIN BUS 1362,-?18.34,Transport,2024-07-27,18.34
2024-02-09,Aldi Store 3190,-?38.45,Groceries,2024-02-09,38.45
2025.06.30,DUBLIN BUS 7111,-34.18,Transport,2025-06-30,34.18
2023-12-14,FREE NOW TAXI DUBLIN,-?14.89,Transport,2023-12-14,14.89
10/01/2025,SuperValu LIMERICK,-76.89,Groceries,2025-01-10,76.89
30/08/2023,TFI Leap Card Topup,-22.73,Transport,2023-08-30,22.73
2024-02-02,DART TICKET MACHINE,-?28.65,Transport,2024-02-02,28.65
"Oct 14, 2024",  Amazon.de Purchase   ,-?79.43,Shopping,2024-10-14,79.43
03/01/2023,Audible UK Monthly,-34.29,Entertainment & Subscriptions,2023-01-03,34.29
2023-04-25,TK MAXX KILKENNY,?58.75,Shopping,2023-04-25,58.75
2025-02-26,Dominos Pizza KILKENNY,6.46 EUR,Dining & Takeaway,2025-02-26,6.46
2023.07.17,zara ireland swords,74.77,Shopping,2023-07-17,74.77
2023-09-13,CIRCLE K DUBLIN,-20.29,Transport,2023-09-13,20.29
22/10/2024,TESCO EXTRA LIMERICK,?61.13,Groceries,2024-10-22,61.13
12/06/2024,Marks & Spencer Food,?45.88,Groceries,2024-06-12,45.88
"May 22, 2024",Starbucks Coffee #4241,?50.12,Dining & Takeaway,2024-05-22,50.12
2025-03-07,JUST EAT 8129,-?3.80,Dining & Takeaway,2025-03-07,3.8
2025-05-21,ALDI IRELAND GMBH,-81.32,Groceries,2025-05-21,81.32
2024.01.16,spar express dundalk,?11.44,Groceries,2024-01-16,11.44
2024-07-18,SPAR EXPRESS DUNDALK,?49.47,Groceries,2024-07-18,49.47
2023-03-11,SPAR EXPRESS GALWAY,-40.68,Groceries,2023-03-11,40.68
2023-01-25,  JUST EAT 4129   ,?44.97,Dining & Takeaway,2023-01-25,44.97
2024-01-22,Aldi Ireland Gmbh,-?66.03,Groceries,2024-01-22,66.03
2023-02-22,Tesco Express,26.94 EUR,Groceries,2023-02-22,26.94
13/08/2023,SPAR EXPRESS DUBLIN,-?103.71,Groceries,2023-08-13,103.71
01/06/2025,circle k cork,-9.20,Transport,2025-06-01,9.2
24/05/2024,Brown Thomas Dublin,-32.86,Shopping,2024-05-24,32.86
"Nov 20, 2024",amazon.de purchase,-126.52,Shopping,2024-11-20,126.52
2025-03-23,DUNNES STORES KILKENNY,-59.48,Groceries,2025-03-23,59.48
2023-11-18,APPLE STORE RETAIL,-?26.28,Shopping,2023-11-18,26.28
2024-11-27,FREE NOW TAXI DUBLIN,-21.87,Transport,2024-11-27,21.87
"Oct 19, 2023",  FREE NOW TAXI DUBLIN   ,-4.38,Transport,2023-10-19,4.38
2024-11-18,Nandos Dublin,?24.37,Dining & Takeaway,2024-11-18,24.37
2024-08-31,  ALDI IRELAND GMBH   ,-67.79,Groceries,2024-08-31,67.79
28/02/2024,FREE NOW TAXI DUBLIN,26.92,Transport,2024-02-28,26.92
2024-09-24,  ALDI IRELAND GMBH   ,33.61,Groceries,2024-09-24,33.61
2023-10-19,McDonalds SWORDS,-?31.73,Dining & Takeaway,2023-10-19,31.73
2024-04-30,ALDI IRELAND GMBH,-114.13,Groceries,2024-04-30,114.13
11/11/2023,  SuperValu SWORDS   ,-?67.16,Groceries,2023-11-11,67.16
2025-06-07,TESCO EXTRA CORK,?98.52,Groceries,2025-06-07,98.52
2023-02-27,Circle K Dundalk,?8.27,Transport,2023-02-27,8.27
22/11/2024,SPAR EXPRESS BRAY,-53.07,Groceries,2024-11-22,53.07
2024-04-22,THE LOCAL PUB & GRILL,-?16.73,Dining & Takeaway,2024-04-22,16.73
08/04/2024,  ALDI STORE 1914   ,-37.77,Groceries,2024-04-08,37.77
2025-01-13,Tesco Store #5661,76.69 EUR,Groceries,2025-01-13,76.69
2024-07-29,DUNNES STORES KILKENNY,-48.79,Groceries,2024-07-29,48.79
2023-07-26,Insomnia Coffee Co,?6.19,Dining & Takeaway,2023-07-26,6.19
28/02/2023,HOTELS.COM RESERVATION,-173.68,Travel,2023-02-28,173.68
2024-05-10,,-90.87,Groceries,2024-05-10,90.87
2023-10-03,ALDI STORE 4744,-82.24,Groceries,2023-10-03,82.24
23/09/2023,ASOS.COM ORDERS,-141.73,Shopping,2023-09-23,141.73
2024-02-26,UBER *TRIP 9173,-21.92,Transport,2024-02-26,21.92
2023-10-29,boots pharmacy galway,-45.16,Shopping,2023-10-29,45.16
"Mar 03, 2025",Applegreen Motorway Services,-?2.40,Transport,2025-03-03,2.4
11/12/2023,FREE NOW TAXI DUBLIN,-8.22,Transport,2023-12-11,8.22
10/10/2023,Council Tax Payment,-117.53,Utilities & Bills,2023-10-10,117.53
2025-01-03,Apple Store Retail,-132.54,Shopping,2025-01-03,132.54
10/06/2024,Playstation Network 2048,-9.08,Entertainment & Subscriptions,2024-06-10,9.08
2024.08.16,DUBLIN BUS 9645,-22.86,Transport,2024-08-16,22.86
2023-01-10,FREE NOW TAXI DUBLIN,-?25.31,Transport,2023-01-10,25.31
2023-02-24,  UBER *TRIP 6087   ,-?32.71,Transport,2023-02-24,32.71
2023-11-11,  Insomnia Coffee Co   ,?28.16,Dining & Takeaway,2023-11-11,28.16
20/09/2024,DELIVEROO.IE *4578,-4.08,Dining & Takeaway,2024-09-20,4.08
2023.08.07,SuperValu DUNDALK,-?44.75,Groceries,2023-08-07,44.75
08/04/2024,SHELL PETROL 6898,14.75 EUR,Transport,2024-04-08,14.75
2025-02-24,Council Tax Payment,-?125.69,Utilities & Bills,2025-02-24,125.69
2023-10-06,lidl ireland,43.07 EUR,Groceries,2023-10-06,43.07
12/10/2024,  Applegreen Motorway Services   ,-40.71,Transport,2024-10-12,40.71
24/02/2025,Decathlon Sports Ireland,?10.00,Shopping,2025-02-24,10.0
2023-10-11,ALDI STORE 8831,-?8.50,Groceries,2023-10-11,8.5
2023-04-10,DUNNES STORES KILKENNY,-?92.43,Groceries,2023-04-10,92.43
2025-02-23,insomnia coffee co,?52.84,Dining & Takeaway,2025-02-23,52.84
2023-08-22,LIDL IRELAND,54.92,Groceries,2023-08-22,54.92
26/08/2024,Audible UK Monthly,-22.27,Entertainment & Subscriptions,2024-08-26,22.27
2025-01-18,Disney Plus Monthly,-?29.54,Entertainment & Subscriptions,2025-01-18,29.54
2024-06-25,PLAYSTATION NETWORK 2565,-31.29,Entertainment & Subscriptions,2024-06-25,31.29
2024-10-07,  TFI Leap Card Topup   ,?40.55,Transport,2024-10-07,40.55
2024-06-27,Brown Thomas Dublin,-56.88,Shopping,2024-06-27,56.88
2025-06-10,  McDonalds CORK   ,-?50.67,Dining & Takeaway,2025-06-10,50.67
2024-02-01,FREE NOW TAXI DUBLIN,?17.60,Transport,2024-02-01,17.6
12/12/2024,youtube premium,-?22.99,Entertainment & Subscriptions,2024-12-12,22.99
2025-05-07,  LIDL IRELAND   ,-84.17,Groceries,2025-05-07,84.17
2025-06-22,dominos pizza bray,-29.32,Dining & Takeaway,2025-06-22,29.32
2024.01.19,AMZN PRIME MEMBER,-10.63,Entertainment & Subscriptions,2024-01-19,10.63
2025.04.28,Tesco Express,-61.73,Groceries,2025-04-28,61.73
11/01/2024,  ASOS.COM ORDERS   ,-?44.38,Shopping,2024-01-11,44.38
2024-04-27,  Tesco Store #8373   ,-110.11,Groceries,2024-04-27,110.11
2024.11.10,SPOTIFY AB 3267 EUR,-30.22,Entertainment & Subscriptions,2024-11-10,30.22
2023-03-14,Starbucks Coffee #7355,,Dining & Takeaway,2023-03-14,73.67
2024.09.27,SuperValu CORK,?105.12,Groceries,2024-09-27,105.12
2023.01.08,irish rail online,?28.65,Transport,2023-01-08,28.65
2023-10-13,IRISH RAIL ONLINE,-42.46,Transport,2023-10-13,42.46
2023-02-14,marks & spencer food,38.47 EUR,Groceries,2023-02-14,38.47
2024.01.06,DUNNES STORES DUBLIN,?52.20,Groceries,2024-01-06,52.2
04/03/2023,penneys primark dublin,57.28 EUR,Shopping,2023-03-04,57.28
"May 15, 2024",Insomnia Coffee Co,?32.75,Dining & Takeaway,2024-05-15,32.75
2024-01-06,DUBLIN BUS 7688,-2.40,Transport,2024-01-06,2.4
"Oct 04, 2023",  CIRCLE K KILKENNY   ,-9.43,Transport,2023-10-04,9.43
2023-04-02,,-29.16,Entertainment & Subscriptions,2023-04-02,29.16
24/05/2024,Youtube Premium,-?31.78,Entertainment & Subscriptions,2024-05-24,31.78
"Mar 28, 2023",  Applegreen Motorway Services   ,33.56,Transport,2023-03-28,33.56
2023.11.27,Starbucks Coffee #5673,-9.53,Dining & Takeaway,2023-11-27,9.53
2023-08-27,Dominos Pizza BRAY,-?44.83,Dining & Takeaway,2023-08-27,44.83
2023-04-27,DUBLIN BUS 9536,?2.40,Transport,2023-04-27,2.4
2023-06-16,penneys primark dublin,-?128.68,Shopping,2023-06-16,128.68
2025-02-01,Boojum Burrito KILKENNY,-29.94,Dining & Takeaway,2025-02-01,29.94
02/01/2023,Boots Healthcare KILKENNY,-?19.69,Health & Fitness,2023-01-02,19.69
2025-01-14,asos.com orders,-176.06,Shopping,2025-01-14,176.06
07/02/2025,Bord Gais Energy DD,-?142.70,Utilities & Bills,2025-02-07,142.7
2023.05.07,odeon cinemas galway,?28.62,Entertainment & Subscriptions,2023-05-07,28.62
2025-06-07,Tesco Store #6775,-28.56,Groceries,2025-06-07,28.56
2023-07-14,Tesco Express,-57.15,Groceries,2023-07-14,57.15
17/11/2023,APPLE.COM/BILL,-?4.99,Entertainment & Subscriptions,2023-11-17,4.99
19/05/2024,Starbucks Coffee #8901,-25.63,Dining & Takeaway,2024-05-19,25.63
2025-04-01,PENNEYS PRIMARK BRAY,?53.00,Shopping,2025-04-01,53.0
2024-09-24,  DUNNES STORES DUBLIN   ,-8.50,Groceries,2024-09-24,8.5
2024-01-26,Brown Thomas Dublin,43.40,Shopping,2024-01-26,43.4
2024-08-13,Netflix.com monthly,?7.37,Entertainment & Subscriptions,2024-08-13,7.37
2024-03-01,Boojum Burrito KILKENNY,-?4.74,Dining & Takeaway,2024-03-01,4.74
2023-10-26,,-?19.30,Groceries,2023-10-26,19.3
22/06/2024,FREE NOW TAXI DUBLIN,-?29.92,Transport,2024-06-22,29.92
05/04/2025,Zara Ireland Limerick,?10.00,Shopping,2025-04-05,10.0
17/08/2023,leap card auto topup,-?25.95,Transport,2023-08-17,25.95
2023-12-22,LEAP CARD AUTO TOPUP,-20.41,Transport,2023-12-22,20.41
2023-03-12,Tesco Express,-35.18,Groceries,2023-03-12,35.18
2025-03-02,Boojum Burrito Bray,-55.83,Dining & Takeaway,2025-03-02,55.83
2023-02-14,Aldi Store 8275,-95.52,Groceries,2023-02-14,95.52
2024-09-08,  APPLE STORE RETAIL   ,-68.72,Shopping,2024-09-08,68.72
2023-10-24,marks & spencer food,?88.60,Groceries,2023-10-24,88.6
2025-02-22,Marks & Spencer Food,?65.23,Groceries,2025-02-22,65.23
2025-05-26,DAA DUTY FREE,-?186.47,Travel,2025-05-26,186.47
2023-04-27,Lidl 8434 KILKENNY,-?53.37,Groceries,2023-04-27,53.37
2023-10-29,TESCO EXTRA DUNDALK,-63.25,Groceries,2023-10-29,63.25
2025.04.11,Insomnia Coffee Co,-23.96,Dining & Takeaway,2025-04-11,23.96
2024-02-21,Gourmet Burger Kitchen,?5.99,Dining & Takeaway,2024-02-21,5.99
2024-02-11,Netflix.com monthly,-5.87,Entertainment & Subscriptions,2024-02-11,5.87
2023-06-11,,51.62 EUR,Groceries,2023-06-11,51.62
"Aug 10, 2023",LEAP CARD AUTO TOPUP,-2.40,Transport,2023-08-10,2.4
2023-08-26,Starbucks Coffee #3607,?31.98,Dining & Takeaway,2023-08-26,31.98
2025-03-05,Lidl Ireland,-75.02,Groceries,2025-03-05,75.02
2025-01-06,irish rail online,-?31.65,Transport,2025-01-06,31.65
2023.08.16,,-68.03,Groceries,2023-08-16,68.03
2024-12-24,Tesco Store #7515,-67.17,Groceries,2024-12-24,67.17
2025.03.08,Costa Coffee DUNDALK,-?4.45,Dining & Takeaway,2025-03-08,4.45
28/10/2024,  BOOTS PHARMACY KILKENNY   ,-?139.60,Shopping,2024-10-28,139.6
"Aug 17, 2023",Dublin Bus 7165,-?30.12,Transport,2023-08-17,30.12
"Aug 10, 2023",Supervalu Limerick,?8.50,Groceries,2023-08-10,8.5
2023.06.09,  CIRCLE K BRAY   ,-?37.99,Transport,2023-06-09,37.99
2023-02-20,Insomnia Coffee Co,3.80 EUR,Dining & Takeaway,2023-02-20,3.8
"Jan 17, 2024",DUNNES STORES KILKENNY,-79.78,Groceries,2024-01-17,79.78
29/02/2024,marks & spencer food,?48.09,Groceries,2024-02-29,48.09
"Apr 20, 2023",McDonalds CORK,28.12 EUR,Dining & Takeaway,2023-04-20,28.12
2025-02-23,FREE NOW TAXI DUBLIN,-2.40,Transport,2025-02-23,2.4
2025-06-25,DART TICKET MACHINE,-?2.40,Transport,2025-06-25,2.4
2023-03-02,tesco store #9896,-46.32,Groceries,2023-03-02,46.32
2023.07.04,Dominos Pizza LIMERICK,-?24.18,Dining & Takeaway,2023-07-04,24.18
"May 11, 2024",TK MAXX DUBLIN,-72.03,Shopping,2024-05-11,72.03
2024-11-13,SHELL PETROL 8795,-22.10,Transport,2024-11-13,22.1
2023-09-07,Costa Coffee LIMERICK,-?3.80,Dining & Takeaway,2023-09-07,3.8
2023-07-08,dominos pizza kilkenny,-5.18,Dining & Takeaway,2023-07-08,5.18
01/06/2024,nandos galway,49.30,Dining & Takeaway,2024-06-01,49.3
2025-01-03,SPOTIFY AB 7544 EUR,?4.99,Entertainment & Subscriptions,2025-01-03,4.99
19/05/2024,  Insomnia Coffee Co   ,-40.38,Dining & Takeaway,2024-05-19,40.38
"Jan 22, 2024",IRISH RAIL ONLINE,-?2.40,Transport,2024-01-22,2.4
2023-07-06,  McDonalds DUBLIN   ,-?16.74,Dining & Takeaway,2023-07-06,16.74
11/06/2023,nandos bray,-?4.55,Dining & Takeaway,2023-06-11,4.55
"Jan 24, 2023",marks & spencer food,-?55.46,Groceries,2023-01-24,55.46
2023-05-24,Circle K Galway,2.40 EUR,Transport,2023-05-24,2.4
2024-12-23,Tesco Store #7034,-118.69,Groceries,2024-12-23,118.69
2025-01-30,APPLE STORE RETAIL,49.78,Shopping,2025-01-30,49.78
"Apr 26, 2023",BOOTS PHARMACY CORK,-?102.80,Shopping,2023-04-26,102.8
"Feb 19, 2023",Supervalu Dundalk,-60.00,Groceries,2023-02-19,60.0
23/07/2024,spar express dublin,-?94.85,Groceries,2024-07-23,94.85
"Aug 04, 2024",AMZN PRIME MEMBER,29.09 EUR,Entertainment & Subscriptions,2024-08-04,29.09
2025.01.10,tesco express,-?43.99,Groceries,2025-01-10,43.99
15/10/2023,Costa Coffee DUBLIN,26.33,Dining & Takeaway,2023-10-15,26.33
03/05/2024,Tesco Store #9847,-58.67,Groceries,2024-05-03,58.67
28/08/2023,TESCO EXTRA DUNDALK,-57.22,Groceries,2023-08-28,57.22
2023-11-23,DUNNES STORES KILKENNY,-25.87,Groceries,2023-11-23,25.87
2023.04.04,McDonalds BRAY,-?28.31,Dining & Takeaway,2023-04-04,28.31
2023-02-21,  Dentist Clinic Dublin   ,-36.67,Health & Fitness,2023-02-21,36.67
"Oct 17, 2024",dominos pizza dublin,12.36,Dining & Takeaway,2024-10-17,12.36
27/06/2025,sky ireland tv & broadband,70.88,Utilities & Bills,2025-06-27,70.88
2023-09-25,McDonalds LIMERICK,-?27.12,Dining & Takeaway,2023-09-25,27.12
2024-08-11,DUNNES STORES BRAY,-?25.68,Groceries,2024-08-11,25.68
2023-05-15,  UBER *TRIP 6646   ,-2.96,Transport,2023-05-15,2.96
2023.09.20,  ODEON CINEMAS LIMERICK   ,14.32,Entertainment & Subscriptions,2023-09-20,14.32
2023-12-05,Costa Coffee DUBLIN,4.83,Dining & Takeaway,2023-12-05,4.83
2023-12-27,spar express cork,-?89.56,Groceries,2023-12-27,89.56
2023-05-02,youtube premium,-16.55,Entertainment & Subscriptions,2023-05-02,16.55
2024-11-09,FREE NOW TAXI DUBLIN,-5.13,Transport,2024-11-09,5.13
25/05/2025,DELIVEROO.IE *1461,-35.40,Dining & Takeaway,2025-05-25,35.4
2023-07-03,Physiotherapy Care Dublin,?56.80,Health & Fitness,2023-07-03,56.8
16/11/2023,  Brown Thomas Dublin   ,?202.52,Shopping,2023-11-16,202.52
2024-08-14,IKEA DUBLIN STORE,-111.22,Shopping,2024-08-14,111.22
2024-02-23,Tesco Store #1043,-93.38,Groceries,2024-02-23,93.38
2024-02-08,Lidl 4026 SWORDS,-?41.03,Groceries,2024-02-08,41.03
2025-01-16,Netflix.com monthly,23.71,Entertainment & Subscriptions,2025-01-16,23.71
2024-10-23,ASOS.COM ORDERS,-126.99,Shopping,2024-10-23,126.99
2023-01-28,  LEAP CARD AUTO TOPUP   ,-9.11,Transport,2023-01-28,9.11
16/03/2024,Tesco Express,-?42.98,Groceries,2024-03-16,42.98
2024-10-04,Dunnes Stores Kilkenny,-?8.50,Groceries,2024-10-04,8.5
10/03/2023,DISNEY PLUS MONTHLY,-4.99,Entertainment & Subscriptions,2023-03-10,4.99
"Apr 25, 2023",FLYEfit Gym Monthly DD,-?51.05,Health & Fitness,2023-04-25,51.05
2024-02-10,Applegreen Motorway Services,8.37,Transport,2024-02-10,8.37
22/02/2025,PLAYSTATION NETWORK 2857,-?11.27,Entertainment & Subscriptions,2025-02-22,11.27
08/04/2023,Dublin Airport Parking,-?424.55,Travel,2023-04-08,424.55
2025-02-06,DUBLIN BUS 9447,4.74 EUR,Transport,2025-02-06,4.74
2025-01-23,JUST EAT 2677,30.43 EUR,Dining & Takeaway,2025-01-23,30.43
02/01/2023,dominos pizza bray,-24.07,Dining & Takeaway,2023-01-02,24.07
2025-02-20,costa coffee galway,?51.41,Dining & Takeaway,2025-02-20,51.41
"May 09, 2023",FLYEfit Gym Monthly DD,25.59,Health & Fitness,2023-05-09,25.59
29/06/2025,DUNNES STORES KILKENNY,-31.62,Groceries,2025-06-29,31.62
30/12/2023,Nandos DUNDALK,-6.50,Dining & Takeaway,2023-12-30,6.5
2024-04-22,DISNEY PLUS MONTHLY,-?7.66,Entertainment & Subscriptions,2024-04-22,7.66
"Dec 29, 2023",  Nandos DUNDALK   ,-37.92,Dining & Takeaway,2023-12-29,37.92
2023-03-29,uber *trip 8506,-?27.93,Transport,2023-03-29,27.93
18/04/2024,  LEAP CARD AUTO TOPUP   ,-60.12,Transport,2024-04-18,60.12
2024-02-10,spar express bray,-31.55,Groceries,2024-02-10,31.55
2025-02-15,ODEON CINEMAS KILKENNY,14.17,Entertainment & Subscriptions,2025-02-15,14.17
2024-07-07,DUNNES STORES DUBLIN,-90.10,Groceries,2024-07-07,90.1
2025-01-07,DUNNES STORES DUNDALK,59.09,Groceries,2025-01-07,59.09
2023-11-09,LEAP CARD AUTO TOPUP,-?11.01,Transport,2023-11-09,11.01
2024-09-02,free now taxi dublin,-23.91,Transport,2024-09-02,23.91
2023-04-06,Aldi Ireland Gmbh,-?87.47,Groceries,2023-04-06,87.47
2024-03-03,lidl ireland,?65.70,Groceries,2024-03-03,65.7
2023-01-27,DART TICKET MACHINE,-2.40,Transport,2023-01-27,2.4
2025-02-15,TESCO EXTRA LIMERICK,-34.84,Groceries,2025-02-15,34.84
06/08/2023,decathlon sports ireland,-?56.80,Shopping,2023-08-06,56.8
"Jan 30, 2023",Boojum Burrito Bray,-33.66,Dining & Takeaway,2023-01-30,33.66
27/07/2023,just eat 6058,-23.65,Dining & Takeaway,2023-07-27,23.65
2023-11-05,  PLAYSTATION NETWORK 4483   ,-19.20,Entertainment & Subscriptions,2023-11-05,19.2
2024-07-25,just eat 6937,17.33,Dining & Takeaway,2024-07-25,17.33
