year_month,year,month,total_spending,transaction_count,average_transaction,largest_transaction,number_of_unique_merchants,weekend_spending,number_of_weekend_transactions,weekend_ratio,groceries_spending,dining_spending,transport_spending,shopping_spending,entertainment_spending,bills_spending,health_spending,travel_spending,food_spending,previous_month_spending,spending_2_months_ago,spending_3_months_ago,3_month_moving_average,6_month_moving_average,prev_food_spending,prev_shopping_spending,prev_transport_spending,prev_bills_spending
2024-06,2024,6,4487.82,115,39.02,213.76,74,1700.89,45,0.379,1783.0,570.18,419.5,932.65,304.75,92.52,171.46,213.76,2353.18,4158.45,5195.89,4743.17,4699.170000000001,5260.091666666666,2456.89,474.73,443.24,338.86
2024-07,2024,7,6811.67,130,52.4,938.71,84,1771.7,38,0.2601,2348.65,832.01,252.54,1746.12,260.72,513.43,279.26,578.94,3180.66,4487.82,4158.45,5195.89,4614.053333333333,4793.945,2353.18,932.65,419.5,92.52
2024-08,2024,8,4817.72,108,44.61,643.01,74,1479.9,34,0.3072,1601.67,843.23,262.97,1332.36,246.93,465.04,65.52,0.0,2444.9,6811.67,4487.82,4158.45,5152.6466666666665,5038.663333333333,3180.66,1746.12,252.54,513.43
2024-09,2024,9,4945.33,108,45.79,154.27,77,1466.83,33,0.2966,2126.96,683.71,369.3,942.31,130.35,139.25,153.04,400.41,2810.67,4817.72,6811.67,4487.82,5372.403333333333,5035.786666666667,2444.9,1332.36,262.97,465.04
2024-10,2024,10,4502.92,102,44.15,172.71,70,1238.84,27,0.2751,1632.46,745.82,395.48,1107.24,306.51,217.69,72.72,25.0,2378.28,4945.33,4817.72,6811.67,5524.906666666667,5069.48,2810.67,942.31,369.3,139.25
2024-11,2024,11,5679.61,120,47.33,523.76,80,1815.9,38,0.3197,1784.07,1117.25,210.71,1211.02,293.62,278.43,147.98,636.53,2901.32,4502.92,4945.33,4817.72,4755.323333333334,4953.985,2378.28,1107.24,395.48,217.69
2024-12,2024,12,5599.24,110,50.9,223.4,70,1773.12,31,0.3167,2497.02,1164.9,334.98,755.95,249.79,355.54,17.66,223.4,3661.92,5679.61,4502.92,4945.33,5042.62,5207.511666666666,2901.32,1211.02,210.71,278.43
2025-01,2025,1,4183.5,95,44.04,198.66,63,1114.79,25,0.2665,1592.35,398.21,210.97,865.42,228.86,764.62,123.07,0.0,1990.56,5599.24,5679.61,4502.92,5260.59,5392.748333333333,3661.92,755.95,334.98,355.54
2025-02,2025,2,6020.37,119,50.59,375.1,83,1930.58,44,0.3207,2609.82,552.12,237.17,666.05,200.4,379.65,131.91,1243.25,3161.94,4183.5,5599.24,5679.61,5154.116666666666,4954.72,1990.56,865.42,210.97,764.62
2025-03,2025,3,7550.86,142,53.18,1132.39,88,2632.17,52,0.3486,1997.6,809.84,340.5,1743.19,232.61,237.52,152.68,2036.92,2807.44,6020.37,4183.5,5599.24,5267.703333333333,5155.161666666667,3161.94,666.05,237.17,379.65
2025-04,2025,4,5368.01,126,42.6,292.99,78,1254.76,31,0.2337,2067.47,826.47,204.64,750.15,123.71,676.35,147.95,571.27,2893.94,7550.86,6020.37,4183.5,5918.243333333333,5589.416666666667,2807.44,1743.19,340.5,237.52
2025-05,2025,5,5726.09,134,42.73,186.47,90,1677.01,45,0.2929,2187.59,881.12,438.59,769.93,243.08,362.65,186.15,656.98,3068.71,5368.01,7550.86,6020.37,6313.079999999999,5733.598333333332,2893.94,750.15,204.64,676.35
2025-06,2025,6,6216.59,134,46.39,438.35,93,2193.56,42,0.3529,2038.18,1157.69,511.42,546.93,235.74,569.5,188.67,968.46,3195.87,5726.09,5368.01,7550.86,6214.986666666667,5741.345,3068.71,769.93,438.59,362.65
